id:12184856,daddy:data/accessoriescsv.csv,name:Dolce & Gabbana Gold-tone, crystal and resin clip earrings,brand:Dolce & Gabbana,price:HK$2711,description:Dolce & Gabbana’s classic leisurewear is crafted in Italy from the finest materials for lasting wearability. This green T-shirt from Dolce & Gabbana’s AW17/18 collection is spun from a soft cotton for optimum comfort. It features a round neck short sleeves a relaxed fit and a multi colour print of a gorilla.,color:HVD86/GREEN,style:G8HI7THP7SN,imglink:https://cdn-images.farfetch-contents.com/12/18/48/56/12184856_10366764_322.jpg
id:12184856,daddy:data/accessoriescsv.csv,name:Dolce & Gabbana Gold-tone, Swarovski crystal and resin ring,brand:Dolce & Gabbana,price:HK$2711,description:Dolce & Gabbana’s classic leisurewear is crafted in Italy from the finest materials for lasting wearability. This green T-shirt from Dolce & Gabbana’s AW17/18 collection is spun from a soft cotton for optimum comfort. It features a round neck short sleeves a relaxed fit and a multi colour print of a gorilla.,color:HVD86/GREEN,style:G8HI7THP7SN,imglink:https://cdn-images.farfetch-contents.com/12/18/48/56/12184856_10366764_322.jpg
id:12184856,daddy:data/accessoriescsv.csv,name:DOLCE & GABBANA hydrangea print scarf,brand:Dolce & Gabbana,price:HK$2711,description:Dolce & Gabbana’s classic leisurewear is crafted in Italy from the finest materials for lasting wearability. This green T-shirt from Dolce & Gabbana’s AW17/18 collection is spun from a soft cotton for optimum comfort. It features a round neck short sleeves a relaxed fit and a multi colour print of a gorilla.,color:HVD86/GREEN,style:G8HI7THP7SN,imglink:https://cdn-images.farfetch-contents.com/12/18/48/56/12184856_10366764_322.jpg
id:12184856,daddy:data/accessoriescsv.csv,name:Dolce & Gabbana Printed silk-twill scarf,brand:Dolce & Gabbana,price:HK$2711,description:Dolce & Gabbana’s classic leisurewear is crafted in Italy from the finest materials for lasting wearability. This green T-shirt from Dolce & Gabbana’s AW17/18 collection is spun from a soft cotton for optimum comfort. It features a round neck short sleeves a relaxed fit and a multi colour print of a gorilla.,color:HVD86/GREEN,style:G8HI7THP7SN,imglink:https://cdn-images.farfetch-contents.com/12/18/48/56/12184856_10366764_322.jpg
id:12184856,daddy:data/accessoriescsv.csv,name:Dolce & Gabbana Printed silk-voile scarf,brand:Dolce & Gabbana,price:HK$2711,description:Dolce & Gabbana’s classic leisurewear is crafted in Italy from the finest materials for lasting wearability. This green T-shirt from Dolce & Gabbana’s AW17/18 collection is spun from a soft cotton for optimum comfort. It features a round neck short sleeves a relaxed fit and a multi colour print of a gorilla.,color:HVD86/GREEN,style:G8HI7THP7SN,imglink:https://cdn-images.farfetch-contents.com/12/18/48/56/12184856_10366764_322.jpg
id:12184856,daddy:data/accessoriescsv.csv,name:Dolce & Gabbana Printed textured-leather iPhone 7 case,brand:Dolce & Gabbana,price:HK$2711,description:Dolce & Gabbana’s classic leisurewear is crafted in Italy from the finest materials for lasting wearability. This green T-shirt from Dolce & Gabbana’s AW17/18 collection is spun from a soft cotton for optimum comfort. It features a round neck short sleeves a relaxed fit and a multi colour print of a gorilla.,color:HVD86/GREEN,style:G8HI7THP7SN,imglink:https://cdn-images.farfetch-contents.com/12/18/48/56/12184856_10366764_322.jpg
id:12184856,daddy:data/accessoriescsv.csv,name:Dolce & Gabbana Textured-leather and metallic floral-print acrylic iPhone 7 case ,brand:Dolce & Gabbana,price:HK$2711,description:Dolce & Gabbana’s classic leisurewear is crafted in Italy from the finest materials for lasting wearability. This green T-shirt from Dolce & Gabbana’s AW17/18 collection is spun from a soft cotton for optimum comfort. It features a round neck short sleeves a relaxed fit and a multi colour print of a gorilla.,color:HVD86/GREEN,style:G8HI7THP7SN,imglink:https://cdn-images.farfetch-contents.com/12/18/48/56/12184856_10366764_322.jpg
id:12492649,daddy:data/accessoriescsv.csv,name:DSQUARED2 patches baseball cap,brand:Dsquared2,price:HK$1580,description:Known for continually pushing the boundaries of fashion DSQUARED2 regularly put their signature spin on wardrobe classics. This patch baseball cap is no exception featuring a curved peak an adjustable fit an embroidered logo to the rear and a patch design this stylish hat is as wearable as it is fashion-forward.,color:3085,style:W17BC40251246,imglink:https://cdn-images.farfetch-contents.com/12/49/26/49/12492649_11665440_322.jpg
id:12010631,daddy:data/accessoriescsv.csv,name:ETRO Delhy scarf,brand:Etro,price:HK$1948,description:Blue Delhy scarf from Etro.,color:200,style:100075007,imglink:https://cdn-images.farfetch-contents.com/12/01/06/31/12010631_9425193_322.jpg
id:12308289,daddy:data/accessoriescsv.csv,name:FEDERICA MORETTI  Woven Hat,brand:Isabel Benenato,price:HK$1102,description:Black  wool woven hat from Isabel Benenato.,color:01 BLACK,style:UA03F1701,imglink:https://cdn-images.farfetch-contents.com/12/30/82/89/12308289_10827211_322.jpg
id:12198716,daddy:data/accessoriescsv.csv,name:FENDI monogram scarf,brand:Fendi,price:HK$1517,description:Fendi's striped scarf is an easy way of incorporating the label's heritage into everyday wear. Crafted from soft wool it's designed with a distinct monogram pattern.,color:F0QZ0,style:FXS143X1C,imglink:https://cdn-images.farfetch-contents.com/12/19/87/16/12198716_10388656_322.jpg
id:12047586,daddy:data/accessoriescsv.csv,name:GARRETT LEIGHT Milwood' sunglasses,brand:Garrett Leight,price:HK$2781,description:Military green acetate Garrett Leight x Nick Wooster sunglasses from Garrett Leight featuring round frames tinted lenses silver-tone hardware and a breath logo of Nick's face.,color:MILITARY,style:2006,imglink:https://cdn-images.farfetch-contents.com/12/04/75/86/12047586_9532669_322.jpg
id:12555223,daddy:data/accessoriescsv.csv,name:GUCCI Blooms scarf,brand:Gucci,price:HK$3600,description:The Gucci Tian print a depicted on this black silk scarf with interlocking GG logo features a contemporary floral motif inspired by Chinese landscapes depicted on 18th-century tapestries and screens. The floral pattern is made up of flowers insects and birds—including dragonflies butterflies and hummingbirds. The plants and creatures are represented through light and quick brushstroke-style graphics with a three-dimensional effect.,color:1062,style:4956744G865,imglink:https://cdn-images.farfetch-contents.com/12/55/52/23/12555223_11918083_322.jpg
