id:12324449,daddy:data/kidsfashioncsv.csv,name:MSGM KIDS  polka dot lurex dress,brand:Msgm Kids,price:HK$922,description:With their graphic and irreverent twists on traditional Italian design MSGM return with this polka dot lurex dress featuring a ribbed crew neck long sleeves a ribbed hem and cuffs a straight fit a polka dot pattern and a metallic sheen. This item is true to fit.,color:122 ARGENTO,styleid:011495122ARGENTO,imglink:https://cdn-images.farfetch-contents.com/12/32/44/49/12324449_11395144_322.jpg
id:12430460,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS  logo printed dress,brand:Fendi Kids,price:HK$1916,description:Known for vibrant colours and distinctly whimsical prints the Fendi Kids collection oozes spontaneity with a side of elegance. White and silver cotton logo printed dress from Fendi Kids featuring a round neck long sleeves a peplum hem a printed logo to the front and two multicolored flower embellishments with conical studs to the front.,color:F0QA0,styleid:JFB1407AJ,imglink:https://cdn-images.farfetch-contents.com/12/43/04/60/12430460_11430648_322.jpg
id:12391929,daddy:data/kidsfashioncsv.csv,name:BURBERRY KIDS  checked long sleeve dress,brand:Burberry Kids,price:HK$1277,description:Burberry Kids’ collection stays true to its British heritage with designs fusing the line between classic and funky. This black white and grey cotton checked long sleeve dress features a classic collar a front button placket front flap pockets long sleeves button cuffs a straight fit and a curved hemline.,color:1030B NATURAL WHITE,styleid:40579181006,imglink:https://cdn-images.farfetch-contents.com/12/39/19/29/12391929_11262267_322.jpg
id:12403060,daddy:data/kidsfashioncsv.csv,name:KENZO KIDS logo print sweatshirt dress,brand:Kenzo Kids,price:HK$582,description:Cool kids will love the new Kenzo Kids’ collection. Expect lively prints and signature vibrant-hued dresses T-shirts and sweats. This melange grey black white and pink cotton blend logo print sweatshirt dress features a ribbed round neck long length raglan sleeves a printed logo to the front a straight fit and a ribbed hem and cuffs.,color:20,styleid:KK3007820K,imglink:https://cdn-images.farfetch-contents.com/12/40/30/60/12403060_11275534_322.jpg
id:12489708,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS buttoned cardigan,brand:Gucci Kids,price:HK$2350,description:Loved for its lavish Italian styling Gucci Kids is the go-to label for the next fashion-forward generation. Crafted in Italy from red wool this buttoned cardigan  features a ribbed v-neck a front button fastening long sleeves a ribbed hem and cuffs a stripe detail on the cuffs and hem and a cable knit detail on the chest.,color:6149 RED,styleid:478573X9B26,imglink:https://cdn-images.farfetch-contents.com/12/48/97/08/12489708_11713861_322.jpg
id:12239589,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS embroidered bomber jacket,brand:Gucci Kids,price:HK$14450,description:Loved for its lavish Italian aesthetic Gucci Kids is the go-top label for the next fashion-forward generation. Red virgin wool floral embroidered bomber jacket from Gucci Kids featuring a ribbed collar long sleeves embroidered details and a ribbed hem and cuffs.,color:6539,styleid:472252ZB376,imglink:https://cdn-images.farfetch-contents.com/12/23/95/89/12239589_10525555_322.jpg
id:12488598,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS embroidered tiger boots,brand:Gucci Kids,price:HK$3300,description:Gucci’s playful spirit and unparalleled Italian craftsmanship translates perfectly into the iconic label’s kidswear range. These navy suede embroidered tiger boots from Gucci Kids feature a round toe a lace-up front fastening a shearling lining a pull tab at the rear a signature blue and red Web detail and a rubber sole.,color:4067,styleid:483617C8H20,imglink:https://cdn-images.farfetch-contents.com/12/48/85/98/12488598_11642460_322.jpg
id:12488595,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS lace-up boots,brand:Gucci Kids,price:HK$4190,description:Loved for its lavish Italian styling Gucci Kids is the go-to label for the next fashion-forward generation. These black and white calf leather lace-up boots feature a signature green and red Web detail a side zip fastening a round toe a chunky low block heel and an embroidered star.,color:1065,styleid:477513CPW60,imglink:https://cdn-images.farfetch-contents.com/12/48/85/95/12488595_11642451_322.jpg
id:12488456,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS embroidered bee hooded jacket,brand:Gucci Kids,price:HK$10650,description:Gucci’s playful spirit and unparalleled Italian craftsmanship translates perfectly into the iconic label’s kidswear range. This khaki feather down embroidered bee hooded jacket from Gucci Kids features a hood a concealed zip fastening a front button fastening long sleeves a ribbed hem and cuffs a signature blue and red Web detail two chest pockets and two front pockets.,color:3033,styleid:474904XBB15,imglink:https://cdn-images.farfetch-contents.com/12/48/84/56/12488456_11641584_322.jpg
id:12452759,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS classic chinos,brand:Gucci Kids,price:HK$2400,description:Loved for its lavish Italian styling Gucci Kids is the go-top label for the next fashion-forward generation. These navy stretch cotton classic chinos from Gucci Kids feature a waistband with belt loops a button and zip fly two front pockets and a rear pocket.,color:4275,styleid:475408XBB56,imglink:https://cdn-images.farfetch-contents.com/12/45/27/59/12452759_11516088_322.jpg
id:12444014,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS Jordaan metallic loafers,brand:Gucci Kids,price:HK$3400,description:Loved for its lavish Italian styling Gucci Kids is the go-to label for the next fashion-forward generation. Case in point: these Jordaan loafers crafted in Italy from metallic pink leather and decorated with the house’s signature Horsebit detail. Set on a rubber sole and fitted with the brand embossed insole even the checked lining is perfectly chic. At once edgy and refined it's the perfect addition to your little one's lineup.,color:6910,styleid:484908BMP00,imglink:https://cdn-images.farfetch-contents.com/12/44/40/14/12444014_11502277_322.jpg
