AL DUCA D’AOSTA 1902  formal blazer
AMI ALEXANDRE MATTIUSSI  tricolour sweatshirt
BALENCIAGA  Printed Raincoat
BALMAIN  distressed camouflage trousers
BLOOD BROTHER  Patch sweatshirt
BURBERRY  checked shirt
BURBERRY  Kensington Heritage mid trenchcoat
CALVIN KLEIN 205W39NYC Stripe 205 knitted jumper 
CMMN SWDN  Stain trousers
COMME DES GARÇONS SHIRT  embroidered sweatshirt
DOLCE & GABBANA  distressed jeans
DOLCE & GABBANA  Royal Black Panther jumper
DOLCE & GABBANA asymmetric patch detail bomber jacket
DSQUARED2  classic checked shirt
DSQUARED2  cool guy jeans
DSQUARED2  zipped pocket blazer
EX INFINITAS  Oversized button-down shirt 
EX INFINITAS  surf sticker print track pants
FACETASM  embroidered quote jumper
FACETASM layered asymmetric coat
FENTY X PUMA  embroidered patch hoodie
GCDS  logo T-shirt
GMBH  colourblock padded coat
GOSHA RUBCHINSKIY  denim bomber jacket 
GREG LAUREN  two tone track pants
HELMUT LANG  printed long sleeve sweatshirt
JW ANDERSON  Appliqué stitch satin bomber jacket
JW ANDERSON  zipped neck sweater
KENZO  contrast hem patterned jumper 
KENZO  denim shirt with patches
KENZO  logo T-shirt
KENZO  Tropic Ice striped shirt
KTZ  lace-up track pants
LANVIN  distressed patch cardigan
LANVIN  Fantastic Utopia hooded jacket
LOVELESS  cropped aviator jacket
MAISON KITSUNÉ  logo print T-shirt
MARCELO BURLON COUNTY OF MILAN  fox print T-shirt
MISBHV  classic single-breasted coat
MISBHV  Extacy sweatpants 
MONKEY TIME  shearling denim jacket
MSGM  distressed regular jeans
NEIGHBORHOOD  logo bomber jacket
NEIL BARRETT  symmetric graphic jumper
OAMC  panel print shirt
OFF-WHITE  camouflage cargo jacket
OFF-WHITE  diagonal stripe print cropped jeans
OFF-WHITE  ripped trousers
PRADA classic straight leg chinos
PRADA horizontal striped cardigan
PRADA sheepskin hooded coat
PRADA stretch shirt 
STELLA MCCARTNEY  UFO print T-shirt
STONE ISLAND  Mussola Gommata bomber jacket
UTILITY PRO  padded printed bomber jacket
YEEZY  autumn print hoodie
YEEZY  classic denim jacket
YEEZY  Yeezy x Adidas embroidered logo T-shirt
YMC Budgie jacket
Z ZEGNA  two buttoned slim-fit suit
Balmain shearling biker jacket
Balmain Anthos ankle boots 
Balmain Prince of Wales checked shirt
Balmain biker track pants
Balmain printed sweatshirt
Balmain snake print jeans
Balmain triangle stitched belt
Balmain biker sweater
Balmain logo embossed fitted top 
Balmain strap detail T-shirt
Balmain camouflage double-breasted coat
Balmain biker jeans
Balmain tuxedo jacket
Valentino beauty is a birthright intarsia jumper 
Valentino notched collar bomber jacket
Valentino Chelsea boots
Valentino patchwork bomber jacket
Valentino high waist flared trousers
Valentino Love Blade bomber jacket
Valentino reclaim your heritage patch T-shirt 
Valentino striped collar shirt
Valentino sequined bomber jacket
Valentino Tattoo embroidered polo shirt
ARMANI COLLEZIONI Faux-fur-lined quilted raincoat 
ARMANI COLLEZIONI Modern-fit birds eye cotton shirt 
ARMANI COLLEZIONI Logo-tab stretch-jersey T-shirt
ARMANI COLLEZIONI Tonal cotton shirt 
ARMANI COLLEZIONI Striped modern-fit stretch-cotton shirt 
ARMANI COLLEZIONI Modern-fit woven jacket 
Givenchy zip collar coat
ARMANI Checked silk and wool-blend jacket 
ARMANI Tailored-fit herringbone cotton-blend jacket
ARMANI Sleeveless quilted gilet
ARMANI Tonal cotton shirt
ARMANI Knitted-sleeve suede jacket
ARMANI Basketweave tailored-fit woven jacket
Givenchy star and stripe appliqué jacket
Givenchy Illuminati patch parka jacket
Givenchy embroidered patch sweatshirt
Givenchy face T-shirt
